author,comment,published_at
狸貓,This is so true. I am the type of person always think too much before doing something or saying something😂. Really learn a lot in this video👍,2023-07-30T04:11:44Z
Сяйво,Listening to this on my way to a job interview,2023-07-05T13:33:36Z
Matthew,Does this work in “sales” interviews though? Thought you had to “close” the interview,2023-07-04T02:48:02Z
awawa,"i think i'm overthinking even in the cinema - i went to the movies and it was a really good movie but i kept zoning out and thinking in my head and then feeling like shit bc i was like why am i like this nobody else is in their head right now, everyone's laughing bc they're fully focussed on the movie yet i'm sat there fully hyper aware of everyone in my peripheral???????? like idk does that even make sense",2023-06-05T18:50:50Z
Janelle,Its interesting when you become the interviewer instead of interviewed when you go for a job interview. Just keep contacting them till that manager is actually brave enough to say nevermind. It just means you're over qualified to work for them.,2023-04-26T15:25:21Z
160p2GHz,Oh man the first time I gave a mock lecture I failed hard on this. I knew they'd be judging the delivery. True. But I focused only on this and couldn't prep the information well.  At the end I was so surprised the other profs were complimenting things they'd learned from it. An aspect I was totally detached from.,2023-03-17T01:49:03Z
Jake,What's the name and artist of the music at the beginning? Shazam isn't getting it.,2023-01-30T21:35:30Z
V[i]ctor,Wondering if doc consulted devs of Deep Rock Galactic... This game is just a model of people positivity.,2022-11-25T20:50:12Z
ALittleSnowFairySaga,"Working in healthcare, this is the mentality I come to work with every day. I gave examples of how I helped patients in the past, and how they smiled at me,",2022-09-27T16:49:15Z
𝓳𝓾𝓵𝓲𝓪,What if you don't have a lot to offer? I work in customer service (call centers) and there's nothing I can offer that other people can't.,2022-09-21T15:08:44Z
Lala,"I think my problem is that I think too much of what the interviewer might want to hear, but that tends to lead me into faking being an ambitious workaholic who is willing to drink the Kool Aid, which is the complete opposite of who I am as a person. I think it's really helpful to think of job interviews as offering information about myself and my skills, and letting people take it or leave it. I've had a really bad time applying to jobs in the past, and I want to try approaching it in a new way now. Thanks Dr. K 👍",2022-07-21T05:08:01Z
Temporary Channel Name,"I interview for jobs a lot, and I'm very good at talking to new groups of people.  I usually have great ideas or even know inside stuff within their industry.  Like when I explain my management style, they seem to love it.

But then, they don't hire me.

I always get this feeling that they're just smiling, nodding and responding positively because they're just being polite.  They can end the interview whenever they want if they hate me, so why can't I get a job?!  I have years of experience in doing exactly the thing they are doing and want me to do.

I know I must be doing something wrong, but I don't know what it is.  I've been out of work for a long time, I am running out of money.",2022-06-06T09:19:45Z
