author,comment,published_at
James Jani,"► Go to https://NordVPN.com/jamesjani and use code JAMESJANI to get a 2-year plan
at a huge discount plus a free bonus. It’s risk free with Nord’s 30 day money-back
guarantee!",2021-07-29T17:29:36Z
Crystal Washington,There is something demonic in these peoples' eyes. Cultish and shrewd.,2023-08-17T20:42:46Z
ito2789,"If there is a hell, I hope all these scammers find each other there eventually.",2023-08-17T17:30:42Z
SARAH ANIM LARBI,Your voice is 🔥,2023-08-16T18:55:03Z
CtrlAltDelite,"Learn about money, business, and  taxes. Get around those types of people.",2023-08-16T12:06:44Z
Mohamed Kallon,I like the way you talk,2023-08-16T10:08:01Z
Terminator,I didn't see Meet Kevin or Graham Stephan featured in this video. You need to make a Part 2 because there's a new wave of get rich scammers on YouTube.,2023-08-13T23:22:41Z
Hope,"Always remember if it’s sounds too good to be true it probably is. 
If anyone can get rich quickly everyone would be rich.",2023-08-12T22:01:55Z
Decentrify Tech,Your content is good but you and the 99% masses still DO NOT UNDERSTAND CRYPTO - instead you and you financially desperate masses screwed crypto up.,2023-08-11T15:46:52Z
Raymond Jameson,I traded well on my Demo account but  when I invested in to my main account i lost all my funds. Please i need an expert to assist me with my trading,2023-08-10T12:52:22Z
OffBelay1984 _,The irony of this video is that the commercials in between are what this video warns you about.,2023-08-10T03:01:27Z
TroyBoy,I jever even came close to any schemes..so easy to spot,2023-08-09T14:05:16Z
Wildlife Wonders,This video should be longer,2023-08-09T09:33:22Z
Mudegi A.,facts.,2023-08-08T18:17:38Z
Kaviya Shanmugavel,😂,2023-08-08T05:28:55Z
ned kelly,"about the only get rich quick thing I know of that works, and it is not get rich overnight, does take some time, is house flipping. I have known people who bought distressed properties, tax leined properties, fixer uppers, etc., and made good money at it.",2023-08-07T23:28:42Z
ned kelly,Ads throughout this video are for get rich quick schemes.,2023-08-07T22:55:03Z
Music Oldies,"OMG Watching this video brings back memories from when I was in that Amway bullshit. I remember getting bombarded with all that motivational crap about how I would make millions of dollars just by finding the ""6 right people"" to sponsor, who will then find 6, and then each of those 6 will find 6 and so on and on and on. After 10 years (where the hell was my good sense? LOL) I finally had enough with all of that nonsense and left and guess what? All of those bigwigs who promised that I would be their ""friend for life"" just disappeared out of sight and never returned any of my calls or emails. So much for being ""one big family"" and spending all that money on books, tapes & seminars just to make about a hundred dollars total which came to what, $10.00 per year BEFORE the motivational expenses? 🤣🤣🤣🤣",2023-08-07T05:05:28Z
LX Videos,Samuel Leeds Property Investors,2023-08-02T15:53:55Z
𝓣𝓲𝔃☝🏼𝓛𝓲𝓯𝓮,"""Honesty sets your mind free. There are no short cuts when it comes to hardwork. Effort is the game you must play to see your results strive. Keep your senses sharp and  alert. Avoid scams by following your gut feeling. Thank you for the breakdown. Stay bless James. Suave.""
☄️𝓣𝓲𝔃☝🏼𝓛𝓲𝓯𝓮🌠",2023-08-01T20:14:48Z
Igor,"I think part of the problem is also that the real way to get rich just isn't very sexy: saving, investing, waiting, etc. Getting rich quickly just sounds so much more appealing.",2023-08-01T18:12:21Z
DrPhatDooky,"These gurus are parasites, stop buying into their scams. Get rich quick schemes only work in making these fake gurus rich quick.",2023-07-31T20:28:52Z
Martin musokem,Thanks dear❤,2023-07-27T19:27:28Z
Mike AL Saghir,"We need a video about this book rich dad and poor dad the truth because most people they don’t understand that he created program explain how he became the rich dad and you are the poor dad Because he knew that there were a lot of poor people who were rich father because they were poor and then write them a fake story in which he talked completely about how he became rich on your personal account and your money and became the smart rich man. But there is a smart point he wrote in his book where he talks about you from whom you bought the book and knows that you will not notice it because you were stupid and bought from him the book and fake lessons. He says the poor father will not become rich because he is lazy and here in the word lazy means stupid and you will not be able to see the truth because you are already stupid when I believed in me and my imaginary idea and bought my book and lessons that were built for poor stupid minds, but I agree with him in one opinion that he knew that most people have a",2023-07-26T13:00:08Z
Max World,"Whats even more funny/weird is that while im watching this video , like 5 commercials of getting rich quick schemes came out. YouTube be pushing this bs bc of their revenue . What a scheme 😅",2023-07-24T00:00:59Z
Leslie Ngo,There is absolutely nothing wrong with a 9 to 5 job. It all depends on what we want in life. It is better than falling for a scam and losing money.,2023-07-23T19:58:18Z
E Vids,"Focus on money and possessions and watch the more important things in life deteriorate around you.  Confident and secure people don't care about cars, brand names, social media, drinking, drugs, drama, late nights.",2023-07-22T22:37:22Z
