author,comment,published_at
Jeff Su,"Team ChatGPT or Bard? Lemme know down below 😉

TIMESTAMPS
00:00 I found the Perfect ChatGPT Formula
00:40 The 6 Prompt Components
01:39 Task
02:07 Context
03:05 Exemplars
04:28 Persona
05:18 Format
06:20 Tone
07:05 Example using the Perfect Prompt Formula
08:01 Good vs. Bad Prompt Outputs",2023-08-01T13:00:45Z
Luis YL,"No transplant while he can afford
cool as fuxk",2023-08-17T15:03:34Z
Maren Alexis,Gotta watch this,2023-08-17T05:22:21Z
gfunk425,Lots of gold in this video and very well presented. Thanks man.,2023-08-16T23:00:50Z
Accurate Information & Technologu,"Hello sir, can you please explain this with easy English langue's  so that we can understand each words clearly  & we can take some profit i really like this video but am not able to undrstand cuz of taught  English.",2023-08-16T07:19:52Z
Edyuto,My man has became the AI expert haha,2023-08-15T19:34:42Z
KABBYA,Perfect formula entitled Jeff!!,2023-08-14T18:23:37Z
JustShanth,Next video on custom instructions prompt,2023-08-14T17:04:56Z
Yannic Brose,Thanks Jeff! Your channel became one of my #1 resources when I am looking for inspiration to business related content. Outlook Inbox Zero video was a game changer for me. 😉 Again thanks a lot. Let's see how I can integrate AI into my job.,2023-08-14T15:05:45Z
Bahauddin Chishte,"Ohh God, just get a life savings prompt (resume bullet point) to rewrite my every activities section in the Common App. Thanks a lot Jefff, I will share this tips with my community ❤

Edit: btw, all the prompts are life savings ❤",2023-08-14T10:31:15Z
Pandu Bala,Your energy :) and ChatGPT mastering is easy,2023-08-14T01:12:57Z
Faisol Zaman,"As an AI developed by OpenAI, I don't require a special prompt to understand. You can simply ask your question or provide your input, and I will endeavor to produce a relevant response. If there's confusion or a lack of clarity, kindly rephrase or give more context, and I'll assist further.",2023-08-13T04:37:49Z
Craig Murray,"I never in my wildest mind would I enjoy content from an engineering geeky type guy. But your stuff is so good, thanks for sharing Jeff. Hey mate (yes l'm an aussie). The formula you mentioned in the video which I now have on the wall in my office again thanks for sharing. Would you be able to use that formula in some way with the ChatGPT custom instructions feature just released? If so would love to hear/see your thoughts please. Cheers Craig",2023-08-12T20:52:58Z
Furry Hippo Finance,"ChatGPT for sure with basic ideas I can filter down content it delivers, break it down even more into my niche and script it from there. Amazing content to help break it all down. Use it as a tool not as a deliver everything mechanism, nothing takes away putting in the work.",2023-08-12T15:46:00Z
Exegesis 66,"Excellent presentation. I found this out too. The key components here give you a higher quality result. I've found that breaking it down is helpful. I will ask if it understands or sometimes I will give it context, then an exemplar and ask it to respond ""read"" and only ""read"" so I don't use up memory. That allows me to load in content. I've found it does better with preloading it with context and exemplars then giving it a task after that.",2023-08-11T20:31:33Z
D O,"""The perfect way to take credit for skills you lack."" 🤬",2023-08-11T15:50:38Z
s,thanks very useful.✌,2023-08-11T11:18:43Z
Rowafa Edits,can i edit your youtube videos?,2023-08-11T03:03:31Z
Igor Lacerda,👏👏👏,2023-08-10T13:52:16Z
