author,comment,published_at
Clear Code,"Huge thanks again to NordPass Business for sponsoring this video. If you want a powerful password manager to conveniently and securely access your data from anywhere make sure to check them out. 
At nordpass.com/clearcode you can get a 3 month trial to check it out. Doing that will also support my channel and help me make more videos!",2023-06-27T19:36:03Z
Ashton Snapp,Holy fuck this is 11 hours long,2023-08-17T16:43:08Z
DAC Protogen,"WOW. 11.5 hours of tutorial with video 'n all. That must have been a ton of work! Thank you and respect, bruh.",2023-08-17T10:49:14Z
BonnieToGamer,At 3:07:00 instead of indexing the array with the `randi() % laser_markers.size()`. You could simply use the builtin function of `pick_random()`,2023-08-16T11:46:12Z
vincent06,"Some comments for those who want to do this tutorial in C#:
* 0:47:08 Call GD.Print() instead of print()
* 1:11:18 Delta is a double and it causes some difficulties working with other variables. The only solution I found is to systematically cast delta to a float.
* 2:15:24 Signals can (should ?) be handled with C# events. Custom signals are declared using the delegate syntax and must have the attribute [Signal]. Call EmitSignal() method instead of emit(). From my experience, doing this is easier than using the editor.
* 6:27:40 Use a property instead of a variable otherwise the tween won't be able to find the property: speed { get; set; }
* 6:35:13  I think casting the body variable to the Drone type with 'as' syntax would be more idiomatic. However you can do the same as in the video by calling HasMethod(""Hit"") and Call(""Hit"")
* 8:13:07 The autoloaded nodes are located under root so you can access the ""Globals"" node like this : GetNode<Globals>(""/root/Globals""). However I'm not sure this is very useful since we can use static variables in C#.",2023-08-15T14:52:26Z
Nejat Hakan,👍,2023-08-15T05:24:38Z
PixelPerfectGamer,"omg , 11hours",2023-08-14T23:17:08Z
𝐒𝐭𝐢𝐭𝐜𝐡𝐍𝐨𝐭𝐒𝐧𝐢𝐭𝐜𝐡™,Can you make a 3D Tutorial?,2023-08-14T23:16:54Z
Angry Cat,"Day 1 - 10:02 ( What is Godot )
Day 2 - 57:55 ( Working with code )",2023-08-14T14:40:52Z
leder gg,"Thanks for this incredibly helpful guide!🤩
And hello from Russia ( it's a pity that automatic translation of subtitles does not work beyond a certain time( )
Если у кого-то возникают проблемы с пониманием текста, могу посоветовать скачать сабы с ютуба и перегнать его через переводчик файлов, с последующим использованием расширения для их показа (или выгрузить видео целиком и вставить сабы уже в плеере)",2023-08-14T09:27:49Z
Phước Thắng Đinh,make a panda3d tutorial please,2023-08-14T04:35:21Z
can of soda,"5:57:48 left off
2:56:33 instancing",2023-08-13T22:55:41Z
MouseMade Content,"Still watching, but this is one of the best explained beginner tutorials out there. Thank you very much for your work and Nordpass for sponsoring it.",2023-08-13T21:36:21Z
Erneset,"Amazing work! Thank you so much, you're so good in explaining things!!",2023-08-13T21:32:48Z
ThGe Re,"awesome tutorial !!💪💪
I'm currently at the shaders part 11:31:30 , everything works fine, but when I put more than one scout in outside scene, I noticed that if one of the scout being hit, all the scout are updating to the white shader.
i've checked the code and everything thoroughly, but still not figured out, is there any solution to this problem?
thanks again~~~ :)",2023-08-13T18:44:41Z
Madara uchiha(REBORN),Which programming language is used in this course ?,2023-08-13T13:59:58Z
MasterBro Network,"Great video! 
One question: Do you have to type _on_something_changed or could you do _onSomethingChanged?",2023-08-13T10:29:39Z
Phước Thắng Đinh,which sprite editor did you use in mario making tutorial,2023-08-13T07:24:53Z
Rafael de Oliveira Dias,Thank You!!,2023-08-12T20:31:59Z
AGC NIKHIL,it was vry helpful,2023-08-12T12:27:43Z
noTmiZ,"wtf, there's actually a download button which is pretty rare. Cases like this is when I disable adblock",2023-08-12T11:58:00Z
Owen Shi,"Love your content, truly a godsend in the programming industry. Thank you for all your tutorials!",2023-08-12T02:52:33Z
DOgi,"Just wondering, is it German accent? :)",2023-08-11T16:55:02Z
ShahariaRahman,thanks for this tute . please make a video about networking multiplayer,2023-08-11T16:27:41Z
♧Guria Aleatória♧,This video is what I needed. Thank you.,2023-08-11T15:30:26Z
Harley O'connor,реально залип в видос,2023-08-11T05:59:17Z
David Ceegore,"This is phenomenal!!!!!  Thank you so much!  Man I sure hope you continue making videos and tutorials.  You've made me believe again!!!  I have just turned 42 years old, and I have dreamed (and busted my behind) since I was a teenager, wanting to make games.  I walked away from that dream a couple of years ago because I thought I just couldn't do it, but you've made this so clear and it is more helpful than I can begin to explain to you!!  I'm back at it again!!!  Thank you and please keep making content like this!!!!",2023-08-11T02:44:18Z
Haitham Albadi,"hello clear code
can you make a full video about processing3 programming language?
there are all codes in reference with fully explanations
i am really want to learn processing3 , and also i want you to build apps on processing3
its hard to understand the explanations about codes , )
thank you",2023-08-10T22:16:12Z
Sammikins,"at 3:12:40 - ""AHH LOOK IT SHOOTS YAY!""

This felt like the first major step to having a game. Player movement and detecting keypresses seemed bland by comparison.",2023-08-10T18:52:26Z
Soroosh.S83,The Tutorial we never knew we need it so far (I recommened spcially script/coding part),2023-08-10T18:12:37Z
Vinay Rana,"9:43:54  hi! Excellent tutorial but I'm facing a problem....even after setting the collision layers as yours in item_container scene, my items are still getting destroyed immediately after spawning...I have checked everything multiple times but can't seem to find the issue... please help.... thanks 👍",2023-08-10T10:19:08Z
MSH rocks,Which language Godot uses? Dose it use python?,2023-08-10T07:04:47Z
Fame Monster,"Hey Clear Code amazing instructional video, are you going to be moving to the Godot engine tutorial, I code a lot of small games using Python, but Godot engine seems to make the work easier and streamlined. it would be amazing if you could make a Vampire Survivors tutorial at some point even if its for sale on your page.",2023-08-10T01:45:43Z
عالم الغرائب the world of the strange things,Thank you sir thank you so much,2023-08-09T10:19:54Z
Ivan A. Medina,"I am finishing the explanation about Delta time. I finally understand it, You explain it very clearly. Thanks!",2023-08-08T23:05:48Z
BrotherDan Boyce,"I am a new subscriber working on my first game...a Pinball game.  I am enjoying learning and applying as I work through your tutorials.  In my game, I am to the point that I would like to add some complexity to the ball launch.  I feel I might do this using Path2D and PathFollow2D.  If you cover such (or similar) ways to have a character follow a given pathway, could you please let me know where that is in your tutorials?  Thanks...BrotherDan",2023-08-08T19:33:42Z
Thorin_7,Question: In the inheritance part how was the func hit () getting called when a laser was hitting it instead of getting called constantly or doesnt get called at all ? Im new to programming based on classes (I only know javascript) .,2023-08-08T15:28:06Z
PontiffJester,"Hello, I greatly appreciate the tutorial you've provided. I was wondering if it would be possible to avoid creating stuff (nodes, scenes, etc...) that we might ultimately need to delete?  I understand they are there to land a point. Alternatively, if you could give us a heads-up, similar to what you did around the six-hour mark, it would be immensely helpful. Thank you once again for the valuable tutorial.",2023-08-08T01:29:09Z
Sajjad A,by lights the occlusionlayer 0 the lights stil can trou the outter walls plas tell me why that is happening,2023-08-07T15:43:31Z
James Roberts,"Noticed something different for me at 2:59:45 The instantiated laser child scenes in your example are all named Laser, @Laser@2, @Laser@3 ... etc but in my Remote tab they are labelled Laser, @Aread2D@2, @Area2d@3 ... etc. The first one is Laser but subsequently they are called @Area2D@n. Not sure it matters in the grand scheme of things... I guess I will find out! Thanks for the great tutorial so far",2023-08-07T10:35:45Z
Pie Trader Detective,"amazing Godot 4 tutorial!!
in your next game project, can you get more in depth into the physics side of the game? 
especially using the Jolt physics engine..where it performs 2x better than the built-in physics engine.",2023-08-07T05:14:59Z
Junwei Hu,完美的godot4教程，找了这么长时间很少有讲的如此详细的视频，感谢作者的视频,2023-08-06T05:41:57Z
Tomasz Śmigielski,"This seems like a great starting point for absolute beginners. But as a seasoned Unity and Unreal developer, I can't help but notice tons of bad practices. On top of that, there's also a lot of improper and inconsistent terminology, and completely ignoring (or just not mentioning) industry standard solutions...",2023-08-05T23:05:06Z
Mostafa Shmaisani,"For real this is the best tutorial I have watched on YouTube, Thanks for it!",2023-08-05T19:49:06Z
Alexander Spurlock,I am 3 hours in! Very well done!,2023-08-05T19:13:48Z
PathForger,I am sure that this is a good tutorial - but I got bucked off the moment it came to download resources just nine minutes in. I've encountered this wall with other tutorials too -as I have an aversion to it. Thank you anyway.,2023-08-04T16:59:35Z
CweaseGaming,This is not JUST great for godot. It's fundamental game dev knowledge. Thank you so much for this!,2023-08-04T16:36:42Z
Cachivache,In the granade's explossion logic you use the _proccess to run a for loop for all the entities and containers in the scene. This loop will run multiple times for seconds (so its not be good for performance). I choose to use the explossion logic into the explode method (the method that runs the animation) and works just fine.,2023-08-03T19:52:16Z
Geometry Dude,Ima watch the whole thing,2023-08-03T15:02:26Z
Williamatics,Saving my time:  27:24,2023-08-03T12:39:28Z
san yi,"also, I made the items spawn from the crates and they disappear immediately I hit the crates. I checked the collisions and they are just like in the video. I even disabled collisions completely and they still disappear right away.",2023-08-03T11:17:25Z
san yi,"at 9:40:37 I write ""for container in get_tree().get_nodes_in_group(""container""):"" in the level script and run the game in the outside scene - the group nodes are not being printed. If I write the same thing in the outside scene script they are getting printed. What is happening? I am using Godot 4.1",2023-08-03T10:08:39Z
Supremacy ECG,"1:46:00 this test function is joke, im doing same thing and it wont print...",2023-08-02T17:19:55Z
Kush Rao Modi,Scripts can be created without being attached to a node. I followed a tutorial for a platformer game in Godot and I was able to do it.,2023-08-02T16:36:51Z
Paradox,thanks i will follow all the video and create my game :) thank you so much!!,2023-08-01T21:12:11Z
m4ch0m4n,"Hey, I'm really new to Godot, and programming in general, thank you very much for providing such in depth guide. I'm trying to follow it and learn with it. However I have an issue with Animation ( at 6:00:00 in) I did all the same as in guide but for whatever reason whenever I shoot grenade with animation player I still have visible explosion sprite on frame 28 (animation starts at 27) throughout whole blinking animation, then when function explosion is called only actual explosion animation is played and grenade disappears. It's really confusing. I managed to go around it by adding visible property on Blinking animation tied to Explosion sprite 2d, but there is no such step in the guide. Am I missing something?",2023-08-01T19:54:11Z
Khaled Alshammari,"Amazing work! You actually made me get back to Godot, i tried to understand it many times! watched bad/outdated tutorials and kept feeling lost, the Godot Docs is massive and great but i felt overwhelmed, this video is just perfect for me!",2023-08-01T18:56:10Z
VariableArtist,"Hello quick question how do you import the godot project stages?
I have tried downloading the file and then using the godot import project as well as open godot project and extracting contents but the files cannot be opened for some reason.",2023-08-01T17:58:55Z
João Pedro de Hollanda,"Bro really made a 11h tutorial for free, thank you! Got my respect ",2023-08-01T14:48:41Z
Solo Leveling,"Is it possible for you to make a tutorial with Godot c# , they are very less tutorials in YouTube",2023-08-01T04:30:19Z
Khaled Alshammari,"Make more Godot Videos, Please!!!!",2023-07-31T20:00:38Z
Flahtort,Is there any way to help with the performance on 2d lights? Some sort of baking or something like that. In my project i have a ton of lights to the point where are they occasionally stop working from certain positions of character. How that can by fixed?,2023-07-31T08:22:21Z
kardrasa,this so complex for my lil brain tho,2023-07-29T20:03:04Z
Samsung A14,Wat is instence,2023-07-29T15:58:51Z
Conrado Costa,"I don't have much to add here but I still would like to say that this is a great content. I hope you do more Godot videos, thank you for this tutorial.",2023-07-28T23:02:06Z
Hossam Abdelhamid,Just thank you!,2023-07-28T21:04:52Z
Pika,"An amazing tutorial, got me up to speed with godot pretty quickly, I'm just unable to find those last 3 hours of content lol",2023-07-28T20:19:13Z
Ace,6:29:57 bro forgot to edit this part 💀,2023-07-28T19:38:27Z
Meraklı Müşkülpesent,"Yo, dude. I've recently finished this tutorial and I'd like to say you're doing God's work here. Thank you so much.",2023-07-28T09:41:05Z
Cameron Moore,Holy fuck,2023-07-28T07:50:31Z
Lucifer Tiki,If any of you  guys have the files pliz upload and send a download link,2023-07-28T07:42:31Z
Lucifer Tiki,Can you please put the resources on a place with easy download coz I can't seem to download them... But anyway this is a perfect tutorial and I'm starting it as soon as I can easily download resources,2023-07-28T07:38:04Z
Sajjad A,"what are the breaklines for ?
(pls tell me)",2023-07-27T14:39:22Z
Заметки недобиолога,That’s awesome! After this video I really simply understand how to build a game!,2023-07-27T13:56:49Z
Yuray,pls name of song at begining,2023-07-27T10:12:07Z
Rock Jones,Very usefull thank you,2023-07-27T07:24:38Z
Lenon Kitchens,"For posterity, around the 6 hour 6 minute mark when you're adding all the extra tracks to toggle the visible property of the light, I found it a lot easier to just make the light a child of the grenade sprite, thus inheriting it's visible property.

At 6 hours and 36 minutes, since I'm using C#, I had to come up with another way.  I simply checked if (body is CollisionObject2D) then if (body.GetCollisionLayerValue(2), which is the enemy layer, then cast body to a Drone and call Hit().  If I had multiple enemy types, I'd write a class called Enemy extending CharacterBody2D and implementing Hit(), then have all my baddies extend Enemy.  Then instead of casting to a Drone, I'd cast to an Enemy and call Hit();",2023-07-27T01:51:10Z
Hyde the Sea Panda,Am I gonna watch this whole thing whether it helps me or not? Yes. Is my body gonna like it? No,2023-07-26T12:04:41Z
Shaun Dreclin,"Me: time for bed
Also me:",2023-07-26T09:22:59Z
Taun Hawk,"Wonderful tutorial! Thanks for sharing. I really enjoyed your Udemy course ""Learn Python by making games"". One small minor critique on this new tutorial, most of the time you give a nice good one breath pause over each scene as you describe it, but sometimes, not always, sometimes, you will switch to a new scene say something about it or even make a small change and quickly move to another scene without giving enough time for us to see and digest the moment. Of course we can simply rewind and pause, but sometimes this is done so quickly that even that takes a bit of tinkering to find a good pause point. But this is not a complaint, absolutely love the content that you share!",2023-07-26T05:45:17Z
