author,comment,published_at
K S,One of the best videos I have watched on the topic. Have subbed!,2023-08-17T21:43:03Z
Cameron Orosco,"My top 3 surface lexicon words: umm, uhhh, nah..",2023-08-17T19:44:36Z
Matthew Haupt,I mean this as a compliment but this dude is speaking in thesaurus,2023-08-17T19:35:31Z
Brittany Baker,"But why the hard ""Ts"" in words like ""better""? I feel that's more of a UK accent, and seems awkward in an American accent.",2023-08-17T19:27:23Z
Minimalici0us,9:25,2023-08-17T19:18:25Z
Retiredmagician,👏🏾👏🏾,2023-08-17T16:31:53Z
Jasmine S,"I don't understand your use of mosaic in this video. When I looked up the definition, apparently, it is a type of art. I intimated from your video that mosaic was an equivalent of ""a lot."" Which doesn't seem to be the case? Can you explain this better to me so I can understand? Thank you!",2023-08-17T15:16:03Z
Lain Padang,This is really good 👍🏻 ¹⁷⁸⅔,2023-08-17T14:53:17Z
pussyhammer69,Audio echoey.,2023-08-17T12:38:32Z
Himanshu Sharma,"Great compilation. I would humbly add that we should also learn to train our brain to grasp real-life contexts. For instance, I wouldn't want to build a surface lexicon that pertains to the lingo of an organisation other than what I want to work for. There is a code (a set of specific and unique words) for every organisation/Domain and for every man-made context. We should strive to learn these codes to excel and prevail when put on a spot in frequently encountered situations such as phone calls or interviews. More importantly, speech and intonation play a greater role in the effective communication of embellishing words. 
Once again, Thank you. It's one of those videos which I have personally archived.",2023-08-17T12:30:55Z
Griffin519x,"One point I’d add is that silence isn’t always the replacement for “Umm”. Saying umm is a verbal indication that you’re thinking about the answer before you respond. Maybe replacing it with “That’s interesting, let me think about that”, or something similar to fit the context of the conversation, would make you sound more articulate but still let’s the listener know that you’re thinking about what they said/asked",2023-08-17T10:47:58Z
Griffin519x,4:06 Bro’s hittin’ those T’s so hard that the D turns into a T 😂,2023-08-17T10:37:47Z
Flipo0,12:42 But I cant sing😩😩,2023-08-17T09:22:45Z
Deco 10,"I love your passion, towards the end of the video I was able to see how speech and speaking amazes you! I love it aha",2023-08-17T06:44:23Z
Deco 10,great video ! I'm really trying to improve my vocabulary. To sound more classy and respectful like in the olden days,2023-08-17T06:20:42Z
Abhi Nav,"Exactly the video I needed atm! 🙌🏻
Well articulated 👏🏻😊",2023-08-17T03:52:10Z
Zakarie Hashi,Love this kind of content,2023-08-17T03:39:44Z
mickie,This video came to me right on time as i’m starting to talk in front of the camera more and I realized I use “like” “um” and “you know” notoriously and i want to fix that.,2023-08-17T03:17:10Z
Megan Rogers,Пять баллов,2023-08-17T02:47:25Z
Cowfee,"Thank you so much, I'll try to practice more. Although I'm still lack of vocabularies.",2023-08-17T02:45:27Z
Katrina Festejo,Highly effective well paced. No fillers worth the watch to the end,2023-08-17T02:03:33Z
V Alexander,Subbed because this channel has the content and accels at delivering so thanks,2023-08-17T00:37:05Z
ryuu zaakii,I feel like articulacy is not a word that people who are actually articulate use.,2023-08-17T00:36:50Z
YourBoss💥,"Help me come back when his subscribers hit 20k, please like this.",2023-08-17T00:06:48Z
Azim Chew,"Man, i subs you. Thanks bro",2023-08-16T23:45:32Z
k1xnt _,little too much 'pausing' in your delivery lol,2023-08-16T22:52:37Z
A McGuinness,"I glanced away for a moment thinking about Stephen Fry. When I refocused on the video, he was on screen.",2023-08-16T22:06:17Z
Simon1sez,Damn internet cookies are really intrusive. But on this occasion I’m grateful,2023-08-16T22:01:02Z
Evidentialism,I just can't pronounce my deep lexicon.,2023-08-16T21:48:22Z
montagecrazy4u,Glad i got to see Michael today,2023-08-16T21:43:34Z
Anald Ndlozi,the only video I do not regret watching today. W video,2023-08-16T20:12:06Z
SaiMadeIt,the breaths analogy was on point,2023-08-16T19:29:20Z
LILLEHAMMER EXPERIMENTAL,You sound great man 👏👏 awesome video,2023-08-16T19:00:21Z
Bing bing Bong bong,Get me pregnant.,2023-08-16T18:58:42Z
Chris Pryor,Лучше не бывает. Не зря потратил время,2023-08-16T18:45:35Z
Pavel Martinov,"this is the most precise and extensive way of saying to someone to fucking read more you idiots lmfao but I definetly understand most peoples baseline vocabulary isnt as great I have the fortune of speaking 2 languages fluently and my god my vocabulary sometimes is accused of being fancy  ""you use big words Paul!"" my brothers and peers say ""hablas bien bonito"" witch means I speak beautifully but in more of a smooth talker kind of way its mostly a result of reading alot and also thinking back to it Im a patterns person I can identify patterns really welll witch is why music makes me tingle but also language when trying to implement or learn a word I always use tools like context clues to understand and fully grasp the new terminology I'm trying to implement as baseline in my every day life. eh food for thought......rant over",2023-08-16T17:55:24Z
John Edelmann,"The problem of beyond think of it, like I sometimes have, and sometimes you sound like an arrogant d-bag if you talk like you are from Harvard.

That's the price you pay for being articulate, and that is why some particular politicians are now starting to just talk more blunt, everyday speech off when talking in their speeches. It's just more popular to talk like the average guy, and it helps you connect with others more to if you talk like them.",2023-08-16T17:48:43Z
Plamen Todorov,"Did you know that your last name - Tsar - is a slavic monarch title, meaning emperor,ruler of a nation. Do you have any slavic roots ?",2023-08-16T17:43:12Z
AmrAllah Hurricane,Imagine you're not just acquiring your third language you're coveting eloquence.,2023-08-16T17:16:59Z
